user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
20120700_S1D_81	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369;s__BOG-1369 sp003164815	GCA_003164815.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369;s__BOG-1369 sp003164815	99.94	0.95	GCA_003164815.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369;s__BOG-1369 sp003164815	99.94	0.95	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003135575.1, s__BOG-1369 sp003135575, 95.0, 77.28, 0.12	88.56	11	N/A	N/A
20120700_S1X_13	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003158275	GCA_003158275.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003158275	97.93	0.63	GCA_003158275.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003158275	97.93	0.63	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 97.89, 0.91; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 89.38, 0.82; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 89.11, 0.81; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.31, 0.56; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 78.92, 0.32	97.71	11	N/A	N/A
20120700_S2X_11	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	GCA_003139855.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	98.09	0.91	GCA_003158275.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003158275	97.84	0.61	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	ANI	topological placement and ANI have incongruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 89.53, 0.82; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 89.02, 0.81; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.32, 0.56; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 78.98, 0.32	97.71	11	N/A	N/A
20120700_S3D_1	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003158275	GCA_003158275.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003158275	98.22	0.61	GCA_003158275.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003158275	98.22	0.61	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 98.01, 0.91; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 89.34, 0.82; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 88.9, 0.81; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.33, 0.54; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.01, 0.31	96.11	11	N/A	N/A
20120700_S3X_23	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003158275	GCA_003158275.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003158275	98.17	0.62	GCA_003158275.1	96.4034	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003158275	98.17	0.62	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 98.13, 0.94; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 89.49, 0.82; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 88.98, 0.82; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.18, 0.58; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.11, 0.31	95.05	11	N/A	N/A
20120800_E1X_10	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__PALSA-986 sp003141855	GCA_003141855.1	95.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__PALSA-986 sp003141855	99.95	0.97	GCA_003141855.1	95.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__PALSA-986 sp003141855	99.95	0.97	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003151735.1, s__PALSA-986 sp003151735, 95.0, 82.01, 0.6; GCA_903901015.1, s__PALSA-986 sp903901015, 95.0, 80.51, 0.52; GCA_003133625.1, s__PALSA-986 sp003133625, 95.0, 79.66, 0.39; GCA_009787175.1, s__PALSA-986 sp009787175, 95.0, 78.59, 0.05; GCA_011367965.1, s__PALSA-986 sp011367965, 95.0, 77.91, 0.23; GCA_003164295.1, s__PALSA-986 sp003164295, 95.0, 77.91, 0.26; GCA_012511995.1, s__PALSA-986 sp012511995, 95.0, 77.68, 0.07; GCA_003589585.1, s__PALSA-986 sp003589585, 95.0, 77.64, 0.27; GCA_011332615.1, s__PALSA-986 sp011332615, 95.0, 77.64, 0.27; GCA_003165195.1, s__PALSA-986 sp003165195, 95.0, 77.37, 0.21; GCA_009783705.1, s__PALSA-986 sp009783705, 95.0, 77.16, 0.1; GCA_009776805.1, s__PALSA-986 sp009776805, 95.0, 77.06, 0.05; GCA_012515445.1, s__PALSA-986 sp012515445, 95.0, 77.05, 0.16; GCA_009781675.1, s__PALSA-986 sp009781675, 95.0, 76.71, 0.11; GCA_012513715.1, s__PALSA-986 sp012513715, 95.0, 76.7, 0.11; GCA_009779045.1, s__PALSA-986 sp009779045, 95.0, 76.6, 0.08; GCA_009781395.1, s__PALSA-986 sp009781395, 95.0, 76.22, 0.07; GCA_009778385.1, s__PALSA-986 sp009778385, 95.0, 76.12, 0.07; GCA_009787585.1, s__PALSA-986 sp009787585, 95.0, 76.07, 0.05	75.66	11	N/A	N/A
20120800_E1X_16	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003141335	GCA_003141335.1	95.0	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003141335	99.58	0.9	GCA_003141335.1	95.0	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003141335	99.58	0.9	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002495055.1, s__Methanoregula sp002495055, 95.0, 82.11, 0.61; GCA_015660885.1, s__Methanoregula sp015660885, 95.0, 81.15, 0.63; GCA_002495065.1, s__Methanoregula sp002495065, 95.0, 79.45, 0.47; GCA_003154335.1, s__Methanoregula sp003154335, 95.0, 78.97, 0.39; GCA_002839675.1, s__Methanoregula sp002839675, 95.0, 78.81, 0.37; GCA_002502245.1, s__Methanoregula sp002502245, 95.0, 78.49, 0.28; GCA_003157895.1, s__Methanoregula sp003157895, 95.0, 78.15, 0.24; GCA_903832665.1, s__Methanoregula sp903832665, 95.0, 78.02, 0.33; GCA_002839605.1, s__Methanoregula sp002839605, 95.0, 77.88, 0.29; GCA_013331015.1, s__Methanoregula sp11803u, 95.0, 77.81, 0.18; GCA_012798365.1, s__Methanoregula sp012798365, 95.0, 77.79, 0.2; GCF_000327485.1, s__Methanoregula formicica, 95.0, 77.74, 0.25; GCA_003170075.1, s__Methanoregula sp003170075, 95.0, 77.69, 0.22; GCA_002497485.1, s__Methanoregula sp002497485, 95.0, 77.65, 0.17; GCA_002508495.1, s__Methanoregula sp002508495, 95.0, 77.62, 0.19; GCA_002067035.1, s__Methanoregula sp002067035, 95.0, 77.54, 0.25; GCA_003136075.1, s__Methanoregula sp003136075, 95.0, 77.52, 0.22; GCA_002835825.1, s__Methanoregula sp002835825, 95.0, 77.44, 0.19; GCF_000017625.1, s__Methanoregula boonei, 95.0, 77.22, 0.2; GCA_002502735.1, s__Methanoregula sp002502735, 95.0, 76.93, 0.19	94.51	11	N/A	N/A
20120800_E1X_3	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	N/A	N/A	N/A	N/A	N/A	GCA_003136075.1	95.0	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003136075	79.64	0.31	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003141335.1, s__Methanoregula sp003141335, 95.0, 78.99, 0.28; GCA_003170075.1, s__Methanoregula sp003170075, 95.0, 78.2, 0.31; GCA_013331015.1, s__Methanoregula sp11803u, 95.0, 77.98, 0.17; GCA_002502245.1, s__Methanoregula sp002502245, 95.0, 77.94, 0.22; GCA_002839605.1, s__Methanoregula sp002839605, 95.0, 77.93, 0.22; GCA_003157895.1, s__Methanoregula sp003157895, 95.0, 77.89, 0.22; GCA_002839675.1, s__Methanoregula sp002839675, 95.0, 77.89, 0.27; GCA_003154335.1, s__Methanoregula sp003154335, 95.0, 77.69, 0.15; GCA_002502735.1, s__Methanoregula sp002502735, 95.0, 77.68, 0.25; GCF_000327485.1, s__Methanoregula formicica, 95.0, 77.66, 0.24; GCA_015660885.1, s__Methanoregula sp015660885, 95.0, 77.63, 0.24; GCF_000017625.1, s__Methanoregula boonei, 95.0, 77.61, 0.25; GCA_002495055.1, s__Methanoregula sp002495055, 95.0, 77.58, 0.2; GCA_903832665.1, s__Methanoregula sp903832665, 95.0, 77.55, 0.25; GCA_002067035.1, s__Methanoregula sp002067035, 95.0, 77.52, 0.24; GCA_002835825.1, s__Methanoregula sp002835825, 95.0, 77.42, 0.2; GCA_002508495.1, s__Methanoregula sp002508495, 95.0, 77.33, 0.19; GCA_002497485.1, s__Methanoregula sp002497485, 95.0, 77.3, 0.16; GCA_002495065.1, s__Methanoregula sp002495065, 95.0, 77.24, 0.16; GCA_012798365.1, s__Methanoregula sp012798365, 95.0, 77.08, 0.17	84.64	11	0.925118220925515	N/A
20120800_E1X_9	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	N/A	N/A	N/A	N/A	N/A	GCA_003170075.1	95.0	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003170075	85.82	0.77	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002502735.1, s__Methanoregula sp002502735, 95.0, 81.39, 0.61; GCF_000017625.1, s__Methanoregula boonei, 95.0, 80.3, 0.49; GCA_003136075.1, s__Methanoregula sp003136075, 95.0, 78.42, 0.3; GCA_002839605.1, s__Methanoregula sp002839605, 95.0, 78.31, 0.26; GCA_003157895.1, s__Methanoregula sp003157895, 95.0, 78.21, 0.24; GCF_000327485.1, s__Methanoregula formicica, 95.0, 78.18, 0.26; GCA_002835825.1, s__Methanoregula sp002835825, 95.0, 78.0, 0.28; GCA_012798365.1, s__Methanoregula sp012798365, 95.0, 77.95, 0.2; GCA_002067035.1, s__Methanoregula sp002067035, 95.0, 77.94, 0.23; GCA_002508495.1, s__Methanoregula sp002508495, 95.0, 77.88, 0.22; GCA_002502245.1, s__Methanoregula sp002502245, 95.0, 77.83, 0.21; GCA_002839675.1, s__Methanoregula sp002839675, 95.0, 77.79, 0.25; GCA_013331015.1, s__Methanoregula sp11803u, 95.0, 77.78, 0.22; GCA_903832665.1, s__Methanoregula sp903832665, 95.0, 77.6, 0.24; GCA_003141335.1, s__Methanoregula sp003141335, 95.0, 77.54, 0.22; GCA_015660885.1, s__Methanoregula sp015660885, 95.0, 77.21, 0.15; GCA_003154335.1, s__Methanoregula sp003154335, 95.0, 77.11, 0.11; GCA_002497485.1, s__Methanoregula sp002497485, 95.0, 77.01, 0.16; GCA_002495055.1, s__Methanoregula sp002495055, 95.0, 76.84, 0.13; GCA_002495065.1, s__Methanoregula sp002495065, 95.0, 76.78, 0.12	84.51	11	0.9690441544731241	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
20120800_E2D_14	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	99.27	0.83	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	99.27	0.83	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 81.33, 0.75; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 78.42, 0.41; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 78.28, 0.42; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 78.12, 0.35; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 77.71, 0.23	91.62	11	N/A	N/A
20120800_E2D_16	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.09	0.97	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.09	0.97	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 93.49, 0.96; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 90.39, 0.98; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 89.83, 0.73; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 79.96, 0.68; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 78.45, 0.37	89.36	11	N/A	N/A
20120800_E2M_1	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.59	0.96	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.59	0.96	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.73, 0.9; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 89.04, 0.89; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.61, 0.65; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.03, 0.6; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.05, 0.33	76.26	11	N/A	N/A
20120800_E2S_2	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.71	0.94	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.71	0.94	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.28, 0.84; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 88.9, 0.84; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.5, 0.57; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.47, 0.56; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.2, 0.34	94.54	11	N/A	N/A
20120800_E2X_5	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	98.54	0.81	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	98.54	0.81	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 81.66, 0.79; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 78.78, 0.42; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 78.7, 0.37; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 78.51, 0.41; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 77.77, 0.25	97.52	11	N/A	N/A
20120800_E3D_6	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003170075	GCA_003170075.1	95.0	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003170075	99.81	0.96	GCA_003170075.1	95.0	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003170075	99.81	0.96	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002502735.1, s__Methanoregula sp002502735, 95.0, 80.76, 0.66; GCF_000017625.1, s__Methanoregula boonei, 95.0, 80.0, 0.63; GCA_003136075.1, s__Methanoregula sp003136075, 95.0, 78.16, 0.32; GCA_003157895.1, s__Methanoregula sp003157895, 95.0, 77.89, 0.3; GCA_903832665.1, s__Methanoregula sp903832665, 95.0, 77.86, 0.28; GCA_002839605.1, s__Methanoregula sp002839605, 95.0, 77.82, 0.35; GCA_002067035.1, s__Methanoregula sp002067035, 95.0, 77.81, 0.32; GCA_002502245.1, s__Methanoregula sp002502245, 95.0, 77.76, 0.3; GCF_000327485.1, s__Methanoregula formicica, 95.0, 77.61, 0.34; GCA_002508495.1, s__Methanoregula sp002508495, 95.0, 77.57, 0.19; GCA_002839675.1, s__Methanoregula sp002839675, 95.0, 77.54, 0.32; GCA_002835825.1, s__Methanoregula sp002835825, 95.0, 77.47, 0.19; GCA_003141335.1, s__Methanoregula sp003141335, 95.0, 77.37, 0.2; GCA_013331015.1, s__Methanoregula sp11803u, 95.0, 77.31, 0.24; GCA_012798365.1, s__Methanoregula sp012798365, 95.0, 77.27, 0.24; GCA_015660885.1, s__Methanoregula sp015660885, 95.0, 77.26, 0.2; GCA_002497485.1, s__Methanoregula sp002497485, 95.0, 77.04, 0.18; GCA_002495055.1, s__Methanoregula sp002495055, 95.0, 76.88, 0.19; GCA_003154335.1, s__Methanoregula sp003154335, 95.0, 76.76, 0.12; GCA_002495065.1, s__Methanoregula sp002495065, 95.0, 76.68, 0.16	71.05	11	N/A	N/A
20120800_E3S_13	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	97.98	0.77	GCA_003170935.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003170935	97.98	0.77	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 81.61, 0.73; GCA_003162175.1, s__Bog-38 sp003162175, 95.0, 79.04, 0.4; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 78.78, 0.36; GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 78.71, 0.38; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 77.59, 0.24	97.86	11	N/A	N/A
20120800_E3X_11	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003141335	GCA_003141335.1	95.0	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003141335	99.78	0.87	GCA_003141335.1	95.0	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003141335	99.78	0.87	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002495055.1, s__Methanoregula sp002495055, 95.0, 81.95, 0.61; GCA_015660885.1, s__Methanoregula sp015660885, 95.0, 81.19, 0.63; GCA_002495065.1, s__Methanoregula sp002495065, 95.0, 79.52, 0.48; GCA_003154335.1, s__Methanoregula sp003154335, 95.0, 79.13, 0.42; GCA_002839675.1, s__Methanoregula sp002839675, 95.0, 79.01, 0.38; GCA_002502245.1, s__Methanoregula sp002502245, 95.0, 78.99, 0.29; GCA_003157895.1, s__Methanoregula sp003157895, 95.0, 78.67, 0.25; GCF_000327485.1, s__Methanoregula formicica, 95.0, 78.37, 0.26; GCA_003170075.1, s__Methanoregula sp003170075, 95.0, 78.32, 0.23; GCA_903832665.1, s__Methanoregula sp903832665, 95.0, 78.27, 0.36; GCA_002839605.1, s__Methanoregula sp002839605, 95.0, 78.18, 0.28; GCA_012798365.1, s__Methanoregula sp012798365, 95.0, 78.14, 0.21; GCF_000017625.1, s__Methanoregula boonei, 95.0, 78.13, 0.19; GCA_002067035.1, s__Methanoregula sp002067035, 95.0, 77.98, 0.25; GCA_013331015.1, s__Methanoregula sp11803u, 95.0, 77.91, 0.2; GCA_002835825.1, s__Methanoregula sp002835825, 95.0, 77.84, 0.2; GCA_002508495.1, s__Methanoregula sp002508495, 95.0, 77.78, 0.18; GCA_003136075.1, s__Methanoregula sp003136075, 95.0, 77.75, 0.22; GCA_002497485.1, s__Methanoregula sp002497485, 95.0, 77.72, 0.19; GCA_002502735.1, s__Methanoregula sp002502735, 95.0, 77.41, 0.19	93.36	11	N/A	N/A
20120800_E3X_13	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__PALSA-986 sp003141855	GCA_003141855.1	95.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__PALSA-986 sp003141855	99.94	0.98	GCA_003141855.1	95.0	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__PALSA-986 sp003141855	99.94	0.98	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__PALSA-986;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003151735.1, s__PALSA-986 sp003151735, 95.0, 81.9, 0.62; GCA_903901015.1, s__PALSA-986 sp903901015, 95.0, 80.39, 0.53; GCA_003133625.1, s__PALSA-986 sp003133625, 95.0, 79.11, 0.43; GCA_003589585.1, s__PALSA-986 sp003589585, 95.0, 77.67, 0.3; GCA_003164295.1, s__PALSA-986 sp003164295, 95.0, 77.49, 0.27; GCA_003165195.1, s__PALSA-986 sp003165195, 95.0, 77.31, 0.22; GCA_011367965.1, s__PALSA-986 sp011367965, 95.0, 77.24, 0.24; GCA_011332615.1, s__PALSA-986 sp011332615, 95.0, 77.18, 0.28; GCA_012515445.1, s__PALSA-986 sp012515445, 95.0, 76.61, 0.17; GCA_009783705.1, s__PALSA-986 sp009783705, 95.0, 76.47, 0.11; GCA_012511995.1, s__PALSA-986 sp012511995, 95.0, 76.34, 0.07; GCA_009781675.1, s__PALSA-986 sp009781675, 95.0, 76.28, 0.11; GCA_012513715.1, s__PALSA-986 sp012513715, 95.0, 76.16, 0.11; GCA_009787175.1, s__PALSA-986 sp009787175, 95.0, 76.13, 0.05; GCA_009778385.1, s__PALSA-986 sp009778385, 95.0, 75.89, 0.07; GCA_009781395.1, s__PALSA-986 sp009781395, 95.0, 75.69, 0.06; GCA_009776805.1, s__PALSA-986 sp009776805, 95.0, 75.5, 0.04; GCA_009787585.1, s__PALSA-986 sp009787585, 95.0, 75.48, 0.05; GCA_009779045.1, s__PALSA-986 sp009779045, 95.0, 75.34, 0.06	73.74	11	N/A	N/A
