genome	taxonomy	completeness	contamination	subpathway	habitat
PLGY01	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855	95.92	0.65	"CAZy-Polyphenolics,Wood_Ljungdahl-methanogen,hydrogenotrophic_methanogenesis-all"	Fen
PLLE01	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__Fen-1039 sp003141245	93.78	2.78	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Xylans,fructose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,mannose_degradation-all,propionate_fermentation-succinate_pathway,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
PLPO01	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Palsa-288;s__Palsa-288 sp003142235	82.74	0	"CAZy-Arabinan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all"	Fen
PMBS01	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp003153015	88.24	1.05	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,Calvin_Benson-all,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,mannose_degradation-all,nitrogen_redox-nitric_oxide_oxidation,nitrogen_redox-nitrogen_fixation,xylose_degradation-isomerase_pathway"	Fen
PMBT01	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Fen-1467;s__Fen-1467 sp003153035	89.69	2.05	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,acetogenesis-simple,galactose_degradation-all,lactose_degradation-all,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
PMCB01	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__Fen-1064;s__Fen-1064 sp003153955	80.89	0.99	"CAZy-Fucose_Cleavage,Wood_Ljungdahl-acetogen,fructose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactose_degradation-all,nitrogen_redox-nitrogen_fixation,xylose_degradation-isomerase_pathway"	Fen
PMEC01	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003155705	90.24	2.78	"CAZy-Alpha_mannan,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Starch,acetogenesis-simple,fructose_degradation-all,fucose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
PMEE01	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	92.32	0.65	"Wood_Ljungdahl-methanogen,hydrogenotrophic_methanogenesis-all"	Fen
PMJR01	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__Fen-1273;s__Fen-1273 sp003158475	94.65	4.1	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xyloglucan,acetogenesis-simple,galactose_degradation-all,lactose_degradation-all,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
PMKW01	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003157895	90.28	0.16	"CAZy-Chitin,Calvin_Benson-all,hydrogenotrophic_methanogenesis-all"	Fen
PMNG01	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Fen-7;s__Fen-7 sp003162615	95.36	0	"CAZy-Starch,Wood_Ljungdahl-methanogen,acetoclastic_methanogenesis-all,nitrogen_redox-nitrogen_fixation"	Fen
20110600_P3S_11	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__	76.34	1.71	"CAZy-Alpha_mannan,CAZy-Polyphenolics,CAZy-Starch,acetogenesis-simple,flagella_assembly-all,glycerol_degradation-glycerol,lactate_fermentation-all,reductive_glycine-serine_pathway,sulfur_redox-dissimilatory_sulfur_oxidation"	Palsa
20110600_P3S_13	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__	91.11	2.28	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,Calvin_Benson-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,nitrogen_redox-assimilatory_nitrate_reduction,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all"	Palsa
20110600_P3S_4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__UBA7541 sp003161195	89.27	2.14	"CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,reductive_glycine-serine_pathway,sucrose_degradation-all"	Palsa
20110600_P3S_5	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-513;s__	79.88	0.43	"CAZy-Amorphous_Cellulose,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Palsa
20110600_P3S_9	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__	88.35	0	"CAZy-Amorphous_Cellulose,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Starch,CAZy-Xylans,Calvin_Benson-all,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all,xylose_degradation-isomerase_pathway"	Palsa
20110700_P1S_10	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__UBA9676;s__	77.09	1.76	"CAZy-Alpha_mannan,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,Calvin_Benson-all,acetogenesis-simple,ethanol_fermentation-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactose_degradation-all,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Palsa
20110700_P1S_11	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Palsa-506;s__Palsa-506 sp003168215	93.72	1.41	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xylans,Calvin_Benson-all,ethanol_fermentation-all,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Palsa
20110700_P1S_12	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-105;s__Bog-105 sp003167495	99.13	1.3	"CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20110700_P1S_2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	88.32	1.9	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,sucrose_degradation-all"	Palsa
20110700_P2S_4	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__Palsa-295;s__Palsa-295 sp003131985	72.41	1.72	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Polyphenolics,chemotaxis-all,glycerol_degradation-glycerol"	Palsa
20110700_P2S_5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	75.63	0	"CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,chemotaxis-all,flagella_assembly-all,galactose_degradation-all,lactose_degradation-all,sucrose_degradation-all"	Palsa
20110700_P2S_6	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__PALSA-1484;s__PALSA-1484 sp003167055	92.47	1.11	"CAZy-Chitin,CAZy-Polyphenolics,CAZy-Starch,chemotaxis-all,flagella_assembly-all,glycerol_degradation-glycerol,lactate_fermentation-all"	Palsa
20110700_P2S_7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UBA8621;s__UBA8621 sp003167015	92.18	1.72	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Palsa
20110700_P3M_11	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__Sulfotelmatobacter sp003168355	98.01	1.71	"CAZy-Alpha_mannan,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,Calvin_Benson-all,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20110700_P3M_3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__;s__	85.33	0.58	"CAZy-Amorphous_Cellulose,CAZy-Mixed_Linkage_glucans,CAZy-Xylans,fructose_degradation-all,lactate_fermentation-all,mannose_degradation-all,propionate_fermentation-succinate_pathway,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20110700_P3M_9	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__Palsa-295;s__Palsa-295 sp003166795	94.11	2.56	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Pectin,CAZy-Xylans,chemotaxis-all,lactate_fermentation-all"	Palsa
20110700_P3S_3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__AP-15;s__	78.63	2.19	"CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Polyphenolics,CAZy-Starch,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,lactate_fermentation-all,nitrogen_redox-assimilatory_nitrate_reduction,phosphorous_redox-assimilatory_phosphonate_oxidation,reductive_glycine-serine_pathway,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation"	Palsa
20110700_P3S_5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003168235	96.62	0.39	"CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,glycerol_degradation-glycerol,lactate_fermentation-all,sucrose_degradation-all"	Palsa
20110700_P3S_8	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	74.42	3.93	"CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xyloglucan,glycerol_degradation-glycerol,lactate_fermentation-all,phosphorous_redox-anabolic_phosphate_reduction,xylose_degradation-isomerase_pathway"	Palsa
20110800_P1S_2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA1301;f__UBA1301;g__UBA6038;s__UBA6038 sp003139615	97.25	0	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,flagella_assembly-all,fructose_degradation-all,glycerol_degradation-glycerol,mannose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20110800_P1S_5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bog-159;s__	96.81	1.75	"CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,butanoate_fermentation-acetyl_coa_pathway,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20110800_P3M_3	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__;s__	85.62	1.92	"CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Starch,CAZy-Xyloglucan,butanoate_fermentation-acetyl_coa_pathway,galactose_degradation-all,galacturonic_acid_degradation-all,lactose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all"	Palsa
20110800_P3S_2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__Sulfotelmatobacter sp003140075	94.73	1.19	"CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20110800_P3S_5	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Palsa-1400;g__Palsa-1400;s__Palsa-1400 sp003140095	89.57	3.85	"CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all,xylose_degradation-isomerase_pathway,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20110800_P3S_8	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Palsa-504;s__Palsa-504 sp003140115	85.9	3.65	"CAZy-Alpha_mannan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,butanoate_fermentation-acetyl_coa_pathway,ethanol_fermentation-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,lactose_degradation-all,propionate_fermentation-succinate_pathway,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation,urea_degradation-all,xylose_degradation-isomerase_pathway"	Palsa
20110800_P3S_9	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Palsa-1150;s__Palsa-1150 sp003139415	91.51	1.94	"CAZy-Amorphous_Cellulose,CAZy-Beta_mannan,CAZy-Mixed_Linkage_glucans,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xyloglucan,acetogenesis-simple,chemotaxis-all,fructose_degradation-all,glycerol_degradation-glycerol,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all"	Palsa
20111000_P1S_1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	88.86	0	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,sucrose_degradation-all"	Palsa
20111000_P1S_2	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__	82.24	1.72	"CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,chemotaxis-all,ethanol_fermentation-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,lactose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,xylose_degradation-xylonate_hydratase_pathway"	Palsa
20111000_P1S_5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Palsa-506;s__	86.04	2.14	"CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Polyphenolics,CAZy-Starch,butanoate_fermentation-acetyl_coa_pathway,ethanol_fermentation-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20111000_P2S_1	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__Sulfotelmatobacter sp003134995	100	1.71	"CAZy-Alpha_mannan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20120500_P23_1	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__UBA8260;g__Palsa-851;s__Palsa-851 sp003132525	96.76	0	"CAZy-Chitin,CAZy-Starch,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Palsa
20120500_P31_3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__FEN-1191;s__FEN-1191 sp003132025	92.93	3.55	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Starch,CAZy-Xylans,Calvin_Benson-all,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,glycerol_degradation-glycerol,phosphorous_redox-assimilatory_phosphonate_oxidation,reductive_glycine-serine_pathway,urea_degradation-all,xylose_degradation-isomerase_pathway"	Palsa
20120500_P31_6	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Palsa-1483;s__Palsa-1483 sp003133185	89.9	0	"CAZy-Chitin,CAZy-Polyphenolics,CAZy-Xyloglucan,lactate_fermentation-all"	Palsa
20120600_P1M_1	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Palsa-1515;s__	89.85	0.19	"CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,Calvin_Benson-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all"	Palsa
20120600_P2M_10	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Palsa-1515;s__	85.65	0.93	"CAZy-Chitin,CAZy-Polyphenolics,CAZy-Starch,Calvin_Benson-all,fructose_degradation-all,glycerol_degradation-glycerol,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20120600_P2M_5	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__	89.45	0.9	"CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction"	Palsa
20120600_P2M_7	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__	91.28	1.28	"CAZy-Alpha_mannan,CAZy-Chitin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xylans,flagella_assembly-all,galactose_degradation-all,glycerol_degradation-glycerol,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation"	Palsa
20120600_P2M_8	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Sulfotelmatobacter;s__Sulfotelmatobacter sp003156805	99.95	0.85	"CAZy-Alpha_mannan,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Palsa
20120600_P2M_9	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptosporangiales;f__Streptosporangiaceae;g__Palsa-504;s__	72.46	0.76	"CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Starch,butanoate_fermentation-acetyl_coa_pathway,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,sucrose_degradation-all,urea_degradation-all,xylose_degradation-isomerase_pathway"	Palsa
20120600_P2S_3	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__PALSA-1516;s__PALSA-1516 sp003156715	96.76	0.93	"CAZy-Chitin,CAZy-Starch,Calvin_Benson-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,sulfur_redox-assimilatory_sulfate_reduction,sulfur_redox-dissimilatory_sulfur_oxidation"	Palsa
20120600_P2S_4	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Palsa-1515;s__Palsa-1515 sp003158195	96.97	0	"CAZy-Chitin,CAZy-Polyphenolics,CAZy-Starch,Calvin_Benson-all,fructose_degradation-all,glycerol_degradation-glycerol,sulfur_redox-assimilatory_sulfate_reduction,urea_degradation-all"	Palsa
20120600_P3M_10	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__PALSA-1196;s__	72.73	2.81	"CAZy-Chitin,CAZy-Polyphenolics,CAZy-Starch,Calvin_Benson-all,flagella_assembly-all,fructose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,reductive_glycine-serine_pathway"	Palsa
